調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,3301,岩手県 雫石町,***,***,***,6353946,121.3,38.637,61.76
2020100000,2020年度,3302,岩手県 葛巻町,***,***,***,3976970,87.5,48.207,47.65
2020100000,2020年度,3303,岩手県 岩手町,***,***,***,5369810,137.4,39.853,47.33
2020100000,2020年度,3321,岩手県 紫波町,***,***,***,8521481,319.1,31.381,65.72
2020100000,2020年度,3322,岩手県 矢巾町,***,***,***,6760961,544.7,26.269,76.62
2020100000,2020年度,3366,岩手県 西和賀町,***,***,***,4345012,47.1,51.013,58.2
2020100000,2020年度,3381,岩手県 金ケ崎町,***,***,***,5374739,142.6,30.673,47.16
2020100000,2020年度,3402,岩手県 平泉町,***,***,***,3023054,221.8,39.424,57.74
2020100000,2020年度,3441,岩手県 住田町,***,***,***,3253439,146.2,45.332,48.93
2020100000,2020年度,3461,岩手県 大槌町,***,***,***,4185468,453.6,38.159,57.73
2020100000,2020年度,3482,岩手県 山田町,***,***,***,4930043,540.4,40.119,57.76
2020100000,2020年度,3483,岩手県 岩泉町,***,***,***,5976197,124.6,44.27,55.94
2020100000,2020年度,3484,岩手県 田野畑村,***,***,***,2254397,142.7,42.367,49.41
2020100000,2020年度,3485,岩手県 普代村,***,***,***,1831079,219.1,42.903,50.48
2020100000,2020年度,3501,岩手県 軽米町,***,***,***,4226703,143.7,41.812,47.73
2020100000,2020年度,3503,岩手県 野田村,***,***,***,2108424,388.9,38.44,56.67
2020100000,2020年度,3506,岩手県 九戸村,***,***,***,2822658,154,44.217,44.95
2020100000,2020年度,3507,岩手県 洋野町,***,***,***,6886268,238.8,41.574,51.13
2020100000,2020年度,3524,岩手県 一戸町,***,***,***,5269509,145,42.466,54.59
2020100000,2020年度,4100,宮城県 仙台市,***,***,***,280307561,3208.7,23.454,80.89
2020100000,2020年度,4101,宮城県 仙台市 青葉区,***,***,***,-,3280.2,22.455,83.74
2020100000,2020年度,4102,宮城県 仙台市 宮城野区,***,***,***,-,3613.7,20.725,80.47
2020100000,2020年度,4103,宮城県 仙台市 若林区,***,***,***,-,2908.6,21.747,79.17
2020100000,2020年度,4104,宮城県 仙台市 太白区,***,***,***,-,3317.2,24.986,80.31
2020100000,2020年度,4105,宮城県 仙台市 泉区,***,***,***,-,2908.1,26.895,79.06
2020100000,2020年度,4202,宮城県 石巻市,***,***,***,40075533,581.8,33.183,62.04
2020100000,2020年度,4203,宮城県 塩竈市,***,***,***,12371721,3546.4,33.872,72.81
2020100000,2020年度,4205,宮城県 気仙沼市,***,***,***,18365906,671.5,38.329,64.05
2020100000,2020年度,4206,宮城県 白石市,***,***,***,9727176,359.9,35.558,58.45
2020100000,2020年度,4207,宮城県 名取市,***,***,***,16240059,1112.8,22.711,73.19
2020100000,2020年度,4208,宮城県 角田市,***,***,***,8033150,307.5,35.799,52.98
2020100000,2020年度,4209,宮城県 多賀城市,***,***,***,12632021,3287.7,24.655,76.14
2020100000,2020年度,4211,宮城県 岩沼市,***,***,***,9678101,951,26.675,68.01
2020100000,2020年度,4212,宮城県 登米市,***,***,***,26613301,248.3,35.451,54.28
2020100000,2020年度,4213,宮城県 栗原市,***,***,***,27369075,175.1,40.54,55.38
2020100000,2020年度,4214,宮城県 東松島市,***,***,***,10117925,532.5,29.636,67.88
2020100000,2020年度,4215,宮城県 大崎市,***,***,***,36417556,340.2,30.423,61.42
2020100000,2020年度,4216,宮城県 富谷市,***,***,***,9656809,1865.3,21.576,73.77
2020100000,2020年度,4301,宮城県 蔵王町,***,***,***,4293499,169.4,38.247,55.24
2020100000,2020年度,4302,宮城県 七ヶ宿町,***,***,***,1527163,41.3,46.197,57.59
