調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,27219,大阪府 和泉市,3614,25.472,35567312,0.91
2020100000,2020年度,27220,大阪府 箕面市,6826.3,25.763,27731894,0.67
2020100000,2020年度,27221,大阪府 柏原市,3823,29.028,15354211,1.02
2020100000,2020年度,27222,大阪府 羽曳野市,4534.4,30.641,23841483,1.03
2020100000,2020年度,27223,大阪府 門真市,9736.9,29.703,27811002,0.28
2020100000,2020年度,27224,大阪府 摂津市,5881.4,25.269,19591389,0.27
2020100000,2020年度,27225,大阪府 高石市,4923.5,28.159,13639365,0.38
2020100000,2020年度,27226,大阪府 藤井寺市,7164,28.379,14233876,0.47
2020100000,2020年度,27227,大阪府 東大阪市,9555.8,27.491,111085282,0.27
2020100000,2020年度,27228,大阪府 泉南市,2262,29.576,13615320,2.63
2020100000,2020年度,27229,大阪府 四條畷市,4900.3,27.455,12127326,0.5
2020100000,2020年度,27230,大阪府 交野市,4319.7,28.762,15110578,0.8
2020100000,2020年度,27231,大阪府 大阪狭山市,5024.5,28.115,12272691,0.89
2020100000,2020年度,27232,大阪府 阪南市,2935.5,33.309,11314527,1.39
2020100000,2020年度,27301,大阪府 島本町,4355.9,27.455,7071480,0.51
2020100000,2020年度,27321,大阪府 豊能町,1506.9,47.41,4777482,2.27
2020100000,2020年度,27322,大阪府 能勢町,426.6,41.491,3504905,10.64
2020100000,2020年度,27341,大阪府 忠岡町,4173,28.84,4333553,0.62
2020100000,2020年度,27361,大阪府 熊取町,3677.6,28.435,8750385,1.32
2020100000,2020年度,27362,大阪府 田尻町,1500.7,23.666,4287726,1.3
2020100000,2020年度,27366,大阪府 岬町,1145.4,40.472,4502990,2.28
2020100000,2020年度,27381,大阪府 太子町,1447.1,29.549,3299217,3.31
2020100000,2020年度,27382,大阪府 河南町,1196.4,31.223,4114263,4.57
2020100000,2020年度,27383,大阪府 千早赤阪村,681.8,45.468,2068762,7.54
2020100000,2020年度,28100,兵庫県 神戸市,4578.1,27.483,443142773,0.74
2020100000,2020年度,28101,兵庫県 神戸市 東灘区,7794.2,23.638,-,0.15
2020100000,2020年度,28102,兵庫県 神戸市 灘区,10018.1,24.214,-,0.16
2020100000,2020年度,28105,兵庫県 神戸市 兵庫区,10031.6,26.825,-,0.2
2020100000,2020年度,28106,兵庫県 神戸市 長田区,9385.2,32.572,-,0.3
2020100000,2020年度,28107,兵庫県 神戸市 須磨区,7294.1,31.754,-,0.34
2020100000,2020年度,28108,兵庫県 神戸市 垂水区,8842,29.321,-,0.4
2020100000,2020年度,28109,兵庫県 神戸市 北区,2132.9,31.197,-,1.38
2020100000,2020年度,28110,兵庫県 神戸市 中央区,6430.6,21.075,-,0.12
2020100000,2020年度,28111,兵庫県 神戸市 西区,2310.9,27.265,-,2.3
2020100000,2020年度,28201,兵庫県 姫路市,2321,26.845,122770647,0.98
2020100000,2020年度,28202,兵庫県 尼崎市,9061.4,26.135,101766110,0.29
2020100000,2020年度,28203,兵庫県 明石市,6409.1,26.224,62890264,0.94
2020100000,2020年度,28204,兵庫県 西宮市,7694.3,23.877,97788142,0.35
2020100000,2020年度,28205,兵庫県 洲本市,521.5,36.786,12905817,10.08
2020100000,2020年度,28206,兵庫県 芦屋市,8333.8,29.444,24021604,0.24
2020100000,2020年度,28207,兵庫県 伊丹市,7925.5,25.98,42999931,0.69
2020100000,2020年度,28208,兵庫県 相生市,1270.4,36.727,8312239,2.42
2020100000,2020年度,28209,兵庫県 豊岡市,537.3,34.227,27738050,5.59
2020100000,2020年度,28210,兵庫県 加古川市,2520.1,27.726,50717628,0.8
2020100000,2020年度,28212,兵庫県 赤穂市,996.4,32.888,12831591,2.23
2020100000,2020年度,28213,兵庫県 西脇市,1002.9,33.548,11872415,1.99
2020100000,2020年度,28214,兵庫県 宝塚市,5040.8,28.127,45282358,0.86
2020100000,2020年度,28215,兵庫県 三木市,733.1,35.073,18951801,4.25
2020100000,2020年度,28216,兵庫県 高砂市,2914.4,29.179,21245173,0.61
2020100000,2020年度,28217,兵庫県 川西市,4679.6,32.292,31834487,0.77
2020100000,2020年度,28218,兵庫県 小野市,825,29.107,11570912,2.77
2020100000,2020年度,28219,兵庫県 三田市,1471,26.413,23614523,2.27
2020100000,2020年度,28220,兵庫県 加西市,502.5,33.644,11932625,3.72
